Year,CPI_Index,YoY_%,Estimated_Rent_USD
2004,272.75,0,2178.403606670401
2005,275.225,0.9074243813015581,2198.170972120481
2006,281.05,2.1164501771278044,2244.694165553497
2007,286.236,1.8452232698807913,2286.1137846339466
2008,283.117,-1.0896602803281086,2261.2029107596845
2009,290.252,2.520159510025888,2318.1888309561773
2010,290.316,0.022049804997026357,2318.699987072866
2011,290.85,0.1839375025834089,2322.9649459214897
2012,296.673,2.002062919030423,2369.4721657258588
2013,301.61,1.6641217771755423,2408.9030680398155
2014,311.032,3.1239017273962943,2484.1548325936137
2015,323.226,3.920496926361272,2581.5460464515018
2016,333.655,3.226534994090824,2664.8405330288274
2017,342.138,2.542446539089771,2732.59267893308
2018,356.986,4.339769332842303,2851.1808980049123
2019,370.402,3.7581305709467605,2958.3319989658294
2020,383.484,3.5318383810022613,3062.8155039427756
2021,391.885,2.1907041754023693,3129.9127310725216
2022,409.481,4.490092756803654,3270.448715904684
2023,437.013,6.723633086761049,3490.341687852803
2024,464.14,6.207366828904415,3707.0
